show_id,Show Title,Year,Previews Date,Opening Date,Closing Date,Theatre Name,Production Type,Show Type,Show Type (Simple),Intermissions,N Performances,Run Time,Show Not Opened,Revival,Other Titles,Official Website,N People,N Performers,N Creative Team,theatre_id,Theatre Full Address,Theatre Street Address,Theatre Address Locality,Theatre Address Region,Theatre Postal Code,Theatre Year Closed,Theatre Year Demolished,Theatre Capacity
322333,King Richard III,1750,,1750-03-05,1750-03-12,Nassau Street Theatre,Original Production,Play,Play,,,,False,False,,,18,17,1,5640.0,64-6 Nassau Street New York NY,64-6 Nassau Street,New York,NY,,,,
313413,Spanish Friar,1750,,1750-03-13,,Nassau Street Theatre,Original Production,Play,Play,,,,False,False,,,1,0,1,5640.0,64-6 Nassau Street New York NY,64-6 Nassau Street,New York,NY,,,,
313471,The Orphan,1750,,1750-04-02,,Nassau Street Theatre,Original Production,Play,Play,,,,False,False,,,1,0,1,5640.0,64-6 Nassau Street New York NY,64-6 Nassau Street,New York,NY,,,,
313540,Love for Love,1750,,1750-07-23,,Nassau Street Theatre,Original Production,Play,Play,,,,False,False,,,1,0,1,5640.0,64-6 Nassau Street New York NY,64-6 Nassau Street,New York,NY,,,,
313610,Cato,1750,,1750-09-24,,Nassau Street Theatre,Original Production,Play,Play,,,,False,False,,,1,0,1,5640.0,64-6 Nassau Street New York NY,64-6 Nassau Street,New York,NY,,,,
3423,The Beggar's Opera,1750,,1750-12-03,1751-05-13,Nassau Street Theatre,Original Production,Operetta,Musical,,5.0,,False,False,,,22,20,3,5640.0,64-6 Nassau Street New York NY,64-6 Nassau Street,New York,NY,,,,
313340,Othello,1751,,1751-12-23,,Nassau Street Theatre,Original Production,Play,Play,,,,False,False,,,2,1,1,5640.0,64-6 Nassau Street New York NY,64-6 Nassau Street,New York,NY,,,,
313591,The Conscious Lovers,1753,,1753-09-17,,Nassau Street Theatre,Original Production,Play,Play,,,,False,False,,,2,0,2,5640.0,64-6 Nassau Street New York NY,64-6 Nassau Street,New York,NY,,,,
313137,King Lear,1754,,1754-01-14,,Nassau Street Theatre,Original Production,Play,Play,,,,False,False,,,2,1,1,5640.0,64-6 Nassau Street New York NY,64-6 Nassau Street,New York,NY,,,,
313155,Romeo and Juliet,1754,,1754-01-28,,New Theatre,Original Production,Play,Play,,,,False,False,,,5,2,3,7409.0,Nassau St. New York NY,Nassau St.,New York,NY,,1754.0,1758.0,
313324,"King Henry IV, Part I",1761,,1761-12-18,,Chapel Street Theatre,Original Production,Play,Play,,,,False,False,,,3,2,1,7185.0,Chapel St. (later Beekman St.) New York NY,Chapel St. (later Beekman St.),New York,NY,,,,
313349,Cymbeline,1767,,1767-12-28,,John Street Theatre,Original Production,Play,Play,,,,False,False,,,3,2,1,5641.0,15-21 John Street New York NY,15-21 John Street,New York,NY,,,1798.0,
313179,The Taming of the Shrew,1768,,1768-01-08,,John Street Theatre,Original Production,Play,Play,,,,False,False,,,3,2,1,5641.0,15-21 John Street New York NY,15-21 John Street,New York,NY,,,1798.0,
313156,The Merchant of Venice,1768,,1768-01-28,,John Street Theatre,Original Production,Play,Play,,,,False,False,,,3,2,1,5641.0,15-21 John Street New York NY,15-21 John Street,New York,NY,,,1798.0,
313929,"King Henry IV, Part I",1768,,1768-02-25,,John Street Theatre,Revival,Play,Play,,,,False,True,,,2,1,1,5641.0,15-21 John Street New York NY,15-21 John Street,New York,NY,,,1798.0,
313511,Macbeth,1768,,1768-05-03,,John Street Theatre,Original Production,Play,Play,,,,False,False,,,2,1,1,5641.0,15-21 John Street New York NY,15-21 John Street,New York,NY,,,1798.0,
313181,King John,1769,,1769-01-09,,John Street Theatre,Original Production,Play,Play,,,,False,False,,,2,1,1,5641.0,15-21 John Street New York NY,15-21 John Street,New York,NY,,,1798.0,
313417,She Stoops to Conquer,1773,,1773-03-15,,John Street Theatre,Original Production,Play,Play,,,,False,False,,,1,0,1,5641.0,15-21 John Street New York NY,15-21 John Street,New York,NY,,,1798.0,
313474,The Rivals,1778,,1778-04-21,,John Street Theatre,Original Production,Play,Play,,,,False,False,,,1,0,1,5641.0,15-21 John Street New York NY,15-21 John Street,New York,NY,,,1798.0,
313309,The School for Scandal,1785,,1785-12-12,,John Street Theatre,Original Production,Play,Play,,,,False,False,,,1,0,1,5641.0,15-21 John Street New York NY,15-21 John Street,New York,NY,,,1798.0,
313536,The Critic,1786,,1786-07-10,,John Street Theatre,Original Production,Play,Play,,,,False,False,,,1,0,1,5641.0,15-21 John Street New York NY,15-21 John Street,New York,NY,,,1798.0,
313539,As You Like It,1786,,1786-07-14,,John Street Theatre,Original Production,Play,Play,,,,False,False,,,2,1,1,5641.0,15-21 John Street New York NY,15-21 John Street,New York,NY,,,1798.0,
313422,Much Ado About Nothing,1787,,1787-03-19,,John Street Theatre,Original Production,Play,Play,,,,False,False,,,6,5,1,5641.0,15-21 John Street New York NY,15-21 John Street,New York,NY,,,1798.0,
312290,May Day in Town,1787,,1787-05-19,1787-05-19,John Street Theatre,Original Production,Musical,Musical,,1.0,,False,False,,,3,1,2,5641.0,15-21 John Street New York NY,15-21 John Street,New York,NY,,,1798.0,
313238,The Merry Wives of Windsor,1789,,1789-10-05,,John Street Theatre,Original Production,Play,Play,,,,False,False,,,1,0,1,5641.0,15-21 John Street New York NY,15-21 John Street,New York,NY,,,1798.0,
